rank,trend,season,episode,name,start,total_votes,average_rating
94888.00,-,1,383,Otakara Daisoudatsusen! Houkai! Spa Island Gou,2008,126,6.5
81747.00,-,1,384,Brook's Hard Struggle the Difficult Path to Becoming a True C...,2009,125,7.4
76991.00,-,1,385,Halfway Through the Grand Line Arrival! The Red Line,2009,127,7.7
76992.00,-,1,386,Hatred of the Straw Hat Crew Enter Iron Mask Duval,2009,127,7.7
79082.00,-,1,387,The Fated Reunion! Save the Imprisoned Fishman,2009,125,7.6
76884.00,-,1,388,Tragedy! The Truth of the Unmasked Duval,2009,124,7.8
76885.00,-,1,389,Explosion! The Sunny's Super Secret Weapon Gaon Cannon,2009,124,7.8
77943.00,-,1,390,Gyojin-tou o Mezashite Jouriku: Sabaody Shotou,2009,128,7.6
75632.00,-,1,391,Bougyaku! Sabaody no Shihaisha Tenryuubito,2009,124,7.9
71176.00,-,1,392,Arata na Rival Shuuketsu! 11-nin no Choushinsei,2009,133,8
75325.00,-,1,393,Hyouteki wa Camie!! Semaru Hitosaraiya no Mashu,2009,128,7.8
73876.00,-,1,394,Camie o Sukue: Shotou ni Nokoru Ankoku no Rekishi,2009,132,7.8
70495.00,-,1,395,Time Limit: Human Auction Kaimaku,2009,135,8
48093.00,7,1,396,Tekken Sakuretsu! Auction o Buttsubuse,2009,194,8.7
51448.00,5,1,397,Dai Panic! Auction Kaijou no Shitou,2009,177,8.7
63986.00,2,1,398,Taishou Kizaru Ugoku! Souzen Sabaody Shotou,2009,145,8.3
65611.00,2,1,399,Houimou o Toppa Seyo! Kaigun Tai Sannin no Senchou,2009,143,8.2
53504.00,5,1,400,Roger to Rayleigh: Kaizoku Ou to Sono Migiude,2009,176,8.5
64260.00,1,1,401,Kaihi Fukanou!? Taishou Kizaru no Kousoku no Keri,2009,144,8.3
65532.00,2,1,402,Attouteki! Kaigun no Sentou Heiki Pacifista,2009,140,8.3
62992.00,3,1,403,Saranaru Kyouteki Arawaru! Masakari Katsuida Sentoumaru,2009,145,8.4
48214.00,7,1,404,Taishou Kizuru no Moukou Mugiwara Ichimi Zettaizetsumei!,2009,189,8.8
28216.00,24,1,405,Kesareta Nakama-tachi: Mugiwara Ichimi Saigo no Hi,2009,358,9.2
104117.00,1,1,406,Jidaigeki Tokubetsu Hen: Luffy Oyabun Futatabi Kenzan,2009,122,6.1
106033.00,-,1,407,Jidaigeki Tokubetsu Hen: Yabure! Thriller Shoukai no Wana,2009,118,6.1
75844.00,-,1,408,Jouriku! Danshi Kinsei no Shima Amazon Lily,2009,130,7.7
76234.00,-,1,409,Isoge! Nakama-tachi no Moto e: Nyougashima no Bouken,2009,129,7.7
76746.00,-,1,410,Minna Meromero! Kaizoku Jotei Hancock,2009,131,7.6
76146.00,-,1,411,Senaka ni Kakusareta Himitsu: Souguu Luffy to Hebihime,2009,126,7.8
72604.00,-,1,412,Hijou no Sabaki! Ishi ni Sareta Margaret!!,2009,129,8
67932.00,1,1,413,Luffy Daikusen! Hebi Shimai no Haki no Chikara!!,2009,136,8.2
70668.00,-,1,414,Nouryoku Zenkai Battle!! Gomugomu Tai Hebihebi,2009,128,8.2
68933.00,-,1,415,Hancock no Kokuhaku: Shimai no Imawashiki Kako,2009,133,8.2
70394.00,-,1,416,Ace o Sukue! Arata na Mokutekichi wa Daikangoku,2009,132,8.1
68049.00,-,1,417,Koi wa Hurricane! Meromero Hancock,2009,139,8.1
75711.00,-,1,418,Nakama-tachi no Yukue: Tenkou no Kagaku to Karakurijima,2009,127,7.8
81313.00,-,1,419,Nakama-tachi no Yukue: Kyochou no Shima to Momoiro no Rakuen!,2009,126,7.4
76989.00,-,1,420,Nakama-tachi no Yukue: Shima o Tsunagu Hashi to Shokujin Shok...,2009,127,7.7
77371.00,-,1,421,Nakama-tachi no Yukue: Negative Princess to Akuma Ou,2009,126,7.7
76538.00,-,1,422,Kesshi no Sennyuu! Kaitei Kangoku Impel Down Sennyuu!,2009,125,7.8
76145.00,-,1,423,Jigoku de Saikai!? Bara Bara no Mi no Jitsuryokusha!,2009,126,7.8
